id,Title,Artists_All,language,polarity,subjectivity,Stage_Label
5aAx2yezTd8zXrkmtKl66Z,Starboy,"The Weeknd, Daft Punk",en,0.13154623154623155,0.5053169053169052,Pre-pandemic
7BKLCZ1jbUBVqRi2FVlTVw,Closer,"The Chainsmokers, Halsey",en,0.16565851565851575,0.4004933504933507,Pre-pandemic
4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,"DJ Snake, Justin Bieber",en,0.3951111111111111,0.6062222222222221,Pre-pandemic
5MFzQMkrl1FOOng9tq6R9r,Don't Wan Know,"Maroon 5, Kendrick Lamar",en,0.14214285714285718,0.5004761904761905,Pre-pandemic
343YBumqHu19cGoGARUTsd,Fake Love,Drake,en,0.0317687074829932,0.5259353741496597,Pre-pandemic
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,en,0.2329313543599258,0.44472789115646244,Pre-pandemic
5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,"The Weeknd, Daft Punk",en,0.2795238095238095,0.5593650793650794,Pre-pandemic
6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,en,0.1233813700918964,0.735954469507101,Pre-pandemic
6fujklziTHa8uoM5OQSfIo,Black Beatles,"Rae Sremmurd, Gucci Mane",en,0.017518939393939392,0.4519480519480519,Pre-pandemic
1xznGGDReH1oQq0xzbwXa3,One Dance,"Drake, WizKid, Kyla",en,0.10976034858387802,0.30557734204793036,Pre-pandemic
6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),Shakira,en,0.129099025974026,0.5599431818181817,Pre-pandemic
14uKsvPJ0quzQvdB6f7Dur,Call On Me - Ryan Riback Extended Remix,Starley,en,0.10319444444444444,0.4705555555555555,Pre-pandemic
04DwTuZ2VBdJCCC5TROn7L,In the name of Love,"Martin Garrix, Bebe Rexha",en,0.3388888888888889,0.5407407407407405,Pre-pandemic
4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),Migos,en,-0.19356500260114712,0.5658819928398242,Pre-pandemic
3EmmCZoqpWOTY1g2GBwJoR,Just Hold On,"Steve Aoki, Louis Tomlinson",en,-0.3311111111111111,0.5977777777777779,Pre-pandemic
4pLwZjInHj3SimIyN9SnOz,Side To Side,"Ariana Grande, Nicki Minaj",en,0.05818181818181819,0.3517171717171717,Pre-pandemic
1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),Machine Gun Kelly,en,0.08580481687624546,0.4935533910533909,Pre-pandemic
1qOLh0tI7trd1zdDKxYZTe,Starving,"Hailee Steinfeld, Grey, Zedd",en,0.20315126050420165,0.3972689075630252,Pre-pandemic
4TZy1wLyHec06pwgFYDh1a,Mercy,Shawn Mendes,en,0.2683823529411765,0.7389705882352942,Pre-pandemic
2rizacJSyD9S1IQUxUxnsK,All We Know,"The Chainsmokers, Phoebe Ryan",en,0.07852733686067019,0.4772927689594357,Pre-pandemic
1vvNmPOiUuyCbgWmtc6yfm,My Way,Calvin Harris,en,-0.1,0.7,Pre-pandemic
4Hf7WnR761jpxPr5D46Bcd,Treat You Better,Shawn Mendes,en,0.21927910052910052,0.4213955026455027,Pre-pandemic
6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,en,-0.04160289115646259,0.3526998299319728,Pre-pandemic
0QsvXIfqM0zZoerQfsI9lm,Don't Let Me Down (feat. Daya),The Chainsmokers,en,-0.0494553376906318,0.3334422657952072,Pre-pandemic
0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,Alessia Cara,en,0.37598684210526306,0.7359649122807017,Pre-pandemic
6nxQdXa1uAL0rY72wPZu89,Love Me Now,John Legend,en,0.40787190845330384,0.5992155777039502,Pre-pandemic
1D3ODoXHBLpdxolZRHWV1j,By Your Side,"Jos Blue, RAYE",en,0.059505208333333316,0.3402343749999999,Pre-pandemic
4Q4jmPHwu0wrJvqrld0FQ6,I Would Like,Zara Larsson,en,0.15,0.7633333333333333,Pre-pandemic
1cG0umU5TKStygKsPFZ9pY,Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",en,0.30149147727272735,0.6195312499999999,Pre-pandemic
27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,Sia,en,0.28279069767441867,0.5148837209302325,Pre-pandemic
7aV2mflaASUmGhCErm7kBO,The Mack,"Nevada, Mark Morrison, Fetty Wap",en,0.11136363636363635,0.3818181818181818,Pre-pandemic
1a5Yu5L18qNxVhXx38njON,Hear Me Now,"Alok, Bruno Martini, Zeeba",en,0.24300595238095238,0.5575892857142857,Pre-pandemic
0JiVRyTJcJnmlwCZ854K4p,Alone,Alan Walker,en,-0.175,0.31666666666666665,Pre-pandemic
17Fd6Yb7mSbinKG8LoWfFl,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,en,-0.27469551282051285,0.7260176282051283,Pre-pandemic
7yyRTcZmCiyzzJlNzGC9Ol,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,en,0.007380952380952382,0.47121693121693126,Pre-pandemic
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,Calvin Harris,en,0.09999999999999999,0.5,Pre-pandemic
5hYTyyh2odQKphUbMqc5gN,"How Far I'll Go - From ""Moa""",Alessia Cara,en,0.06004391008297261,0.5216161616161612,Pre-pandemic
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,en,-0.011773989898989902,0.3835542929292929,Pre-pandemic
0SGkqnVQo9KPytSri1H6cF,Bounce Back,Big Sean,en,0.029466507727377297,0.25827268544659854,Pre-pandemic
4F7A0DXBrmUAkp32uenhZt,Party Monster,The Weeknd,en,0.3727020202020202,0.44585858585858584,Pre-pandemic
3AsAuGTaDQzavZZThyYlop,Sexual,"NEIKED, Dyo",en,0.38333333333333336,0.6694444444444446,Pre-pandemic
6I6NX6tjGsxFAsIfGzY9lJ,Deja Vu,J. Cole,en,-0.003965336134453789,0.4754464285714285,Pre-pandemic
6HUnnBwYZqcED1eQztxMBN,Solo Dance,Martin Jensen,en,0.18743386243386248,0.5189153439153439,Pre-pandemic
2Z8WuEywRWYTKe1NybPQEW,Ride,Twenty One Pilots,en,0.14445887445887454,0.2802380952380951,Pre-pandemic
14WWzenpaEgQZlqPq2nk4v,Work,"Rihanna, Drake",en,0.009953703703703704,0.5641203703703703,Pre-pandemic
58zsLZPvfflaiIbNWoA22O,Human,Rag'n'Bone Man,en,-0.00568181818181818,0.5333333333333335,Pre-pandemic
11KJSRSgaDxqydKYiD2Jew,Too Good,"Drake, Rihanna",en,0.28595238095238096,0.47803244374672954,Pre-pandemic
2BrzlUj1u1CtvaJDGIKpsP,Make Me (Cry),"Noah Cyrus, Labrinth",en,0.21368184955141475,0.5866287094547965,Pre-pandemic
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,en,0.19316257816257812,0.43631794131794127,Pre-pandemic
7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",gnash,en,-0.1394756838905775,0.6328647416413374,Pre-pandemic
3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,Justin Bieber,en,0.15148148148148147,0.5440740740740739,Pre-pandemic
5OOkp4U9P9oL23maHFHL1h,Panda,Desiigner,en,-0.10875790875790876,0.42282717282717286,Pre-pandemic
7gHs73wELdeycvS48JfIos,Faded,Alan Walker,en,0.05833333333333335,0.6375000000000001,Pre-pandemic
